module,tier,domain,maturity,coupling,disposition,version,layer,dependents,loc,files,tests,commits,last_commit,cdc_impact_cols,application,license,name_collision,summary,packs,tags,models_without_search,core_field_dupes
custom_demo_seed,,,,,,19.0.1.0.0,4,0,1402,9,1,,,,False,LGPL-3,False,"Generates 12 months of reproducible, idempotent, obviously-synthetic demo volume.",,,,
custom_operating_unit,,,,,,19.0.1.0.0,1,3,773,17,1,,,,False,LGPL-3,False,Operating Unit dimension: a hierarchical unit of operation inside a company.,,,,
custom_pdp_core,,Indonesia Compliance,B,GENERIC,CONFLICT,19.0.1.0.0,1,4,2169,13,1,10,2026-08-04,0,False,LGPL-3,False,UU 27/2022 field classification registry: the single source of the data taxonomy.,,audit-trail;pdp,,
custom_pdp_masking,,Indonesia Compliance,A,GENERIC,CONFLICT,19.0.1.0.0,2,2,1329,15,1,15,2026-08-04,0,False,LGPL-3,False,"Masking policy for the five PDP classes, plus the reference HMAC implementation.",,audit-trail;pdp,res.partner,
custom_ppob,,,,,,19.0.1.0.0,3,1,863,15,1,,,,True,LGPL-3,False,"Bill payment and top-up transactions, with billers, an SLA clock and a state machine.",,,,
auth_jwt,_vendor,Other,B,GENERIC,ADOPT,19.0.1.0.2,1,2,979,21,1,2,2026-05-21,0,False,LGPL-3,False,JWT bearer token authentication.,,,auth.jwt.validator,
queue_job,_vendor,Other,B,GENERIC,ADOPT,19.0.2.0.1,1,10,6465,79,10,3,2026-05-28,0,False,LGPL-3,False,,,,queue.job.lock,ir.model.fields.ttype~ttype
custom_adapter_framework,core,Platform & Ops,A,GENERIC,ADOPT,19.0.0.2.0,4,6,638,15,1,12,2026-08-04,0,True,LGPL-3,False,"Generic adapter registry, HTTP client, circuit breaker, and audit log for external integrations",ppob,audit-trail,custom.adapter.call.log,
custom_ai_bridge,core,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,2,15,424,15,0,15,2026-08-04,0,False,LGPL-3,False,Connects Odoo to the platform AI gateway (Claude / OpenAI / Ollama abstraction),,ai,,
custom_bast,core,Sales / Rental / Service,A,GENERIC,ADOPT,19.0.0.2.0,4,7,748,19,1,19,2026-08-04,0,False,LGPL-3,False,Berita Acara Serah Terima — generic handover document with dual signatures and audit,,audit-trail,custom.bast.line,
custom_core,core,Platform & Ops,A,GENERIC,ADOPT,19.0.0.2.0,1,105,681,19,1,13,2026-08-04,0,False,LGPL-3,False,"Shared utilities, mixins, and policy helpers for the Custom platform",,,,
custom_currency_nbsp,core,Platform & Ops,C,GENERIC,DEFER,19.0.1.0.0,1,0,180,8,0,1,2026-08-04,0,False,LGPL-3,False,"Render money without non-breaking spaces and prepend a UTF-8 BOM to CSV exports, so amounts stop showing a stray 'Â'.",,,,
custom_doc_numbering,core,Platform & Ops,B,GENERIC,ADOPT,19.0.1.0.0,5,0,327,12,1,2,2026-07-09,2,False,LGPL-3,False,Per-company document numbering (SQ/SO/PO/INV/DO/BAST) with monthly reset.,,ai;multi-tenant,,
custom_hht_bridge,core,Inventory & Logistics,A,GENERIC,ADOPT,19.0.0.2.0,5,1,2918,39,1,13,2026-08-04,0,True,LGPL-3,False,Handheld Terminal bridge: PWA shell + secure REST API + offline sync (Zebra/DataWedge),distrib,hht,,
custom_home_console,core,Productivity & AI,C,GENERIC,DEFER,19.0.1.0.0,2,1,1471,329,0,2,2026-06-02,6,False,LGPL-3,False,"Spotlight-style home landing: grouped app cards, search, shortcuts, branding",,,,
custom_object_storage,core,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,5,4,633,14,2,,,,False,LGPL-3,False,"S3-compatible object storage (Cloudflare R2) with short-lived pre-signed URLs, so bytes never pass through Odoo",booth-production,,,
custom_product_barcode,core,Inventory & Logistics,C,GENERIC,DEFER,19.0.0.1.0,1,4,140,7,0,4,2026-07-07,1,False,LGPL-3,False,"Alternate barcodes per product variant — one variant, one inventory, all scannable",,barcode-scan,product.barcode,
custom_sale_bast,core,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,5,0,143,6,0,1,2026-06-02,1,False,LGPL-3,False,Generate and access BAST (handover) documents directly from a Sales Order,,,,
custom_spk,core,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,4,9,853,18,2,,,,False,LGPL-3,False,"Surat Perintah Kerja as the golden thread, with the price fence that keeps selling price and cost away from the people who must not see them",booth-production,,,
custom_spk_billing,core,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,7,0,813,18,2,,,,False,LGPL-3,False,"Billing plans per job, the reminder for work finished but never invoiced, and dunning that escalates",booth-production,,,
custom_spk_change_order,core,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,6,0,494,11,1,,,,False,LGPL-3,False,"Scope changes after the job is approved, priced and signed before the workshop touches them",booth-production,,,
custom_spk_costing,core,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,6,0,531,11,1,,,,False,LGPL-3,False,"Estimate versus actual per job, including the waste variance that tells you whether the problem is the workshop or the drawing",booth-production,,,
custom_spk_delivery,core,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,6,1,540,11,1,,,,False,LGPL-3,False,"One job, several venues, each with its own loading window, crew and handover — and the dismantle that gets forgotten until it is billed",booth-production,,,
