kode,nama,komoditas,kota,termin_hari
SUP-001,CV Tani Makmur Jaya,Jagung pipil kering KA 15-17 persen,Kediri,14
SUP-002,UD Sumber Pangan Lestari,Jagung pipil kering dan bekatul kasar,Nganjuk,7
SUP-003,PT Boga Protein Nusantara,Bungkil kedelai SBM impor dan DDGS jagung,Surabaya,30
SUP-004,PT Samudra Marine Feed,Tepung ikan lokal dan tepung ikan impor,Banyuwangi,21
SUP-005,CV Rendering Prima Abadi,MBM meat bone meal impor,Sidoarjo,30
SUP-006,PT Sawit Energi Nusantara,CPO pakan dan molases tetes tebu,Gresik,21
SUP-007,CV Mineral Karya Sentosa,Limestone granule dan powder DCP MCP garam pakan,Tuban,14
SUP-008,PT Aditif Nutrisi Prima,Premix asam amino enzim choline dan toxin binder,Jakarta Timur,30
SUP-009,CV Kemasan Anugerah Plastik,Karung PP inner liner benang jahit dan label,Sidoarjo,30
SUP-010,UD Giling Padi Sejahtera,Dedak padi halus dan bekatul,Jombang,7
SUP-011,PT Vetindo Sehat Ternak,Obat hewan vitamin dan desinfektan kandang,Sidoarjo,21
SUP-012,UD Agro Sarana Kandang,Sekam padi egg tray dan pallet plastik,Mojokerto,7
