produk_sku,bahan_sku,persen,qty_per_batch_kg,satuan,catatan
FG-BRS-01,RM-JGP-01,48.00,2400.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-BRS-01,RM-SBM-01,30.00,1500.000,KG,Batch standar 5000 KG; harga bahan Rp 7700/KG
FG-BRS-01,RM-DDK-01,6.00,300.000,KG,Batch standar 5000 KG; harga bahan Rp 3500/KG
FG-BRS-01,RM-TIK-01,5.00,250.000,KG,Batch standar 5000 KG; harga bahan Rp 11000/KG
FG-BRS-01,RM-MBM-01,4.00,200.000,KG,Batch standar 5000 KG; harga bahan Rp 6800/KG
FG-BRS-01,RM-CPO-01,3.00,150.000,KG,Batch standar 5000 KG; harga bahan Rp 12500/KG
FG-BRS-01,RM-DCP-01,1.30,65.000,KG,Batch standar 5000 KG; harga bahan Rp 9800/KG
FG-BRS-01,RM-LMS-01,1.10,55.000,KG,Batch standar 5000 KG; harga bahan Rp 900/KG
FG-BRS-01,RM-PMX-01,0.50,25.000,KG,Batch standar 5000 KG; harga bahan Rp 32000/KG
FG-BRS-01,RM-MET-01,0.35,17.500,KG,Batch standar 5000 KG; harga bahan Rp 62000/KG
FG-BRS-01,RM-LYS-01,0.30,15.000,KG,Batch standar 5000 KG; harga bahan Rp 38000/KG
FG-BRS-01,RM-GRM-01,0.30,15.000,KG,Batch standar 5000 KG; harga bahan Rp 3200/KG
FG-BRS-01,RM-TXB-01,0.15,7.500,KG,Batch standar 5000 KG; harga bahan Rp 28000/KG
FG-BRG-01,RM-JGP-01,52.00,2600.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-BRG-01,RM-SBM-01,26.00,1300.000,KG,Batch standar 5000 KG; harga bahan Rp 7700/KG
FG-BRG-01,RM-DDK-01,8.00,400.000,KG,Batch standar 5000 KG; harga bahan Rp 3500/KG
FG-BRG-01,RM-TIK-01,3.50,175.000,KG,Batch standar 5000 KG; harga bahan Rp 11000/KG
FG-BRG-01,RM-MBM-01,4.00,200.000,KG,Batch standar 5000 KG; harga bahan Rp 6800/KG
FG-BRG-01,RM-CPO-01,3.00,150.000,KG,Batch standar 5000 KG; harga bahan Rp 12500/KG
FG-BRG-01,RM-DCP-01,1.20,60.000,KG,Batch standar 5000 KG; harga bahan Rp 9800/KG
FG-BRG-01,RM-LMS-01,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 900/KG
FG-BRG-01,RM-PMX-01,0.50,25.000,KG,Batch standar 5000 KG; harga bahan Rp 32000/KG
FG-BRG-01,RM-MET-01,0.30,15.000,KG,Batch standar 5000 KG; harga bahan Rp 62000/KG
FG-BRG-01,RM-LYS-01,0.25,12.500,KG,Batch standar 5000 KG; harga bahan Rp 38000/KG
FG-BRG-01,RM-GRM-01,0.25,12.500,KG,Batch standar 5000 KG; harga bahan Rp 3200/KG
FG-BRF-01,RM-JGP-01,55.00,2750.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-BRF-01,RM-SBM-01,23.00,1150.000,KG,Batch standar 5000 KG; harga bahan Rp 7700/KG
FG-BRF-01,RM-DDK-01,9.50,475.000,KG,Batch standar 5000 KG; harga bahan Rp 3500/KG
FG-BRF-01,RM-TIK-01,2.50,125.000,KG,Batch standar 5000 KG; harga bahan Rp 11000/KG
FG-BRF-01,RM-MBM-01,3.50,175.000,KG,Batch standar 5000 KG; harga bahan Rp 6800/KG
FG-BRF-01,RM-CPO-01,3.30,165.000,KG,Batch standar 5000 KG; harga bahan Rp 12500/KG
FG-BRF-01,RM-DCP-01,1.10,55.000,KG,Batch standar 5000 KG; harga bahan Rp 9800/KG
FG-BRF-01,RM-LMS-01,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 900/KG
FG-BRF-01,RM-PMX-01,0.40,20.000,KG,Batch standar 5000 KG; harga bahan Rp 32000/KG
FG-BRF-01,RM-MET-01,0.25,12.500,KG,Batch standar 5000 KG; harga bahan Rp 62000/KG
FG-BRF-01,RM-LYS-01,0.20,10.000,KG,Batch standar 5000 KG; harga bahan Rp 38000/KG
FG-BRF-01,RM-GRM-01,0.25,12.500,KG,Batch standar 5000 KG; harga bahan Rp 3200/KG
FG-LYP-01,RM-JGP-01,52.00,2600.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-LYP-01,RM-SBM-01,22.00,1100.000,KG,Batch standar 5000 KG; harga bahan Rp 7700/KG
FG-LYP-01,RM-DDK-01,12.00,600.000,KG,Batch standar 5000 KG; harga bahan Rp 3500/KG
FG-LYP-01,RM-MBM-01,3.00,150.000,KG,Batch standar 5000 KG; harga bahan Rp 6800/KG
FG-LYP-01,RM-LMS-01,5.50,275.000,KG,Batch standar 5000 KG; harga bahan Rp 900/KG
FG-LYP-01,RM-DCP-01,1.20,60.000,KG,Batch standar 5000 KG; harga bahan Rp 9800/KG
FG-LYP-01,RM-CPO-01,2.00,100.000,KG,Batch standar 5000 KG; harga bahan Rp 12500/KG
FG-LYP-01,RM-PMX-02,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 30000/KG
FG-LYP-01,RM-MET-01,0.20,10.000,KG,Batch standar 5000 KG; harga bahan Rp 62000/KG
FG-LYP-01,RM-LYS-01,0.15,7.500,KG,Batch standar 5000 KG; harga bahan Rp 38000/KG
FG-LYP-01,RM-GRM-01,0.30,15.000,KG,Batch standar 5000 KG; harga bahan Rp 3200/KG
FG-LYP-01,RM-CHL-01,0.15,7.500,KG,Batch standar 5000 KG; harga bahan Rp 21000/KG
FG-LYP-01,RM-TXB-01,0.50,25.000,KG,Batch standar 5000 KG; harga bahan Rp 28000/KG
FG-LY1-01,RM-JGP-01,55.00,2750.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-LY1-01,RM-SBM-01,21.00,1050.000,KG,Batch standar 5000 KG; harga bahan Rp 7700/KG
FG-LY1-01,RM-DDK-01,8.00,400.000,KG,Batch standar 5000 KG; harga bahan Rp 3500/KG
FG-LY1-01,RM-MBM-01,3.50,175.000,KG,Batch standar 5000 KG; harga bahan Rp 6800/KG
FG-LY1-01,RM-LMS-01,8.50,425.000,KG,Batch standar 5000 KG; harga bahan Rp 900/KG
FG-LY1-01,RM-DCP-01,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 9800/KG
FG-LY1-01,RM-CPO-01,1.20,60.000,KG,Batch standar 5000 KG; harga bahan Rp 12500/KG
FG-LY1-01,RM-PMX-02,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 30000/KG
FG-LY1-01,RM-MET-01,0.20,10.000,KG,Batch standar 5000 KG; harga bahan Rp 62000/KG
FG-LY1-01,RM-LYS-01,0.15,7.500,KG,Batch standar 5000 KG; harga bahan Rp 38000/KG
FG-LY1-01,RM-GRM-01,0.30,15.000,KG,Batch standar 5000 KG; harga bahan Rp 3200/KG
FG-LY1-01,RM-CHL-01,0.15,7.500,KG,Batch standar 5000 KG; harga bahan Rp 21000/KG
FG-LY2-01,RM-JGP-01,56.00,2800.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-LY2-01,RM-SBM-01,19.00,950.000,KG,Batch standar 5000 KG; harga bahan Rp 7700/KG
FG-LY2-01,RM-DDK-01,9.00,450.000,KG,Batch standar 5000 KG; harga bahan Rp 3500/KG
FG-LY2-01,RM-MBM-01,3.50,175.000,KG,Batch standar 5000 KG; harga bahan Rp 6800/KG
FG-LY2-01,RM-LMS-01,9.00,450.000,KG,Batch standar 5000 KG; harga bahan Rp 900/KG
FG-LY2-01,RM-DCP-01,0.90,45.000,KG,Batch standar 5000 KG; harga bahan Rp 9800/KG
FG-LY2-01,RM-CPO-01,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 12500/KG
FG-LY2-01,RM-PMX-02,1.00,50.000,KG,Batch standar 5000 KG; harga bahan Rp 30000/KG
FG-LY2-01,RM-MET-01,0.18,9.000,KG,Batch standar 5000 KG; harga bahan Rp 62000/KG
FG-LY2-01,RM-LYS-01,0.12,6.000,KG,Batch standar 5000 KG; harga bahan Rp 38000/KG
FG-LY2-01,RM-GRM-01,0.30,15.000,KG,Batch standar 5000 KG; harga bahan Rp 3200/KG
FG-KSL-01,RM-SBM-01,38.00,1520.000,KG,Batch standar 4000 KG; harga bahan Rp 7700/KG
FG-KSL-01,RM-LMS-02,19.35,774.000,KG,Batch standar 4000 KG; harga bahan Rp 750/KG
FG-KSL-01,RM-MBM-01,18.00,720.000,KG,Batch standar 4000 KG; harga bahan Rp 6800/KG
FG-KSL-01,RM-TIK-01,8.00,320.000,KG,Batch standar 4000 KG; harga bahan Rp 11000/KG
FG-KSL-01,RM-DDK-01,7.00,280.000,KG,Batch standar 4000 KG; harga bahan Rp 3500/KG
FG-KSL-01,RM-DCP-01,4.00,160.000,KG,Batch standar 4000 KG; harga bahan Rp 9800/KG
FG-KSL-01,RM-CPO-01,2.00,80.000,KG,Batch standar 4000 KG; harga bahan Rp 12500/KG
FG-KSL-01,RM-PMX-02,1.50,60.000,KG,Batch standar 4000 KG; harga bahan Rp 30000/KG
FG-KSL-01,RM-GRM-01,0.80,32.000,KG,Batch standar 4000 KG; harga bahan Rp 3200/KG
FG-KSL-01,RM-MET-01,0.50,20.000,KG,Batch standar 4000 KG; harga bahan Rp 62000/KG
FG-KSL-01,RM-CHL-01,0.50,20.000,KG,Batch standar 4000 KG; harga bahan Rp 21000/KG
FG-KSL-01,RM-LYS-01,0.35,14.000,KG,Batch standar 4000 KG; harga bahan Rp 38000/KG
FG-KSB-01,RM-SBM-01,40.00,1600.000,KG,Batch standar 4000 KG; harga bahan Rp 7700/KG
FG-KSB-01,RM-MBM-01,18.00,720.000,KG,Batch standar 4000 KG; harga bahan Rp 6800/KG
FG-KSB-01,RM-DDK-01,12.00,480.000,KG,Batch standar 4000 KG; harga bahan Rp 3500/KG
FG-KSB-01,RM-LMS-02,10.00,400.000,KG,Batch standar 4000 KG; harga bahan Rp 750/KG
FG-KSB-01,RM-TIK-02,6.00,240.000,KG,Batch standar 4000 KG; harga bahan Rp 15800/KG
FG-KSB-01,RM-DCP-01,5.00,200.000,KG,Batch standar 4000 KG; harga bahan Rp 9800/KG
FG-KSB-01,RM-CPO-01,4.00,160.000,KG,Batch standar 4000 KG; harga bahan Rp 12500/KG
FG-KSB-01,RM-PMX-01,2.00,80.000,KG,Batch standar 4000 KG; harga bahan Rp 32000/KG
FG-KSB-01,RM-MET-01,0.90,36.000,KG,Batch standar 4000 KG; harga bahan Rp 62000/KG
FG-KSB-01,RM-LYS-01,0.60,24.000,KG,Batch standar 4000 KG; harga bahan Rp 38000/KG
FG-KSB-01,RM-GRM-01,0.60,24.000,KG,Batch standar 4000 KG; harga bahan Rp 3200/KG
FG-KSB-01,RM-TXB-01,0.40,16.000,KG,Batch standar 4000 KG; harga bahan Rp 28000/KG
FG-KSB-01,RM-THR-01,0.20,8.000,KG,Batch standar 4000 KG; harga bahan Rp 41000/KG
